Record_ID,Timestamp_Hour,Day_of_Week,Location,Num_Connected_Devices,Bandwidth_Usage_Mbps,AP_Load_Percent,Network_Latency_ms,Packet_Loss_Rate_Percent,Signal_Strength_dBm,Retransmission_Rate_Percent,Throughput_Mbps,Active_Sessions,Channel_Utilization_Percent,Congestion_Level
5077,15,Friday,Cafeteria,136.9045351366968,159.14,36.8,39.7,1.72,-55.6,2.82,137.27175603882773,210.0,28.86,Low
4532,9,Monday,Library,58.56728101094574,64.59,26.38,34.9,1.22,-47.2,2.06,52.81640466772333,80.0,22.63,Low
1498,20,Wednesday,Lecture_Hall_1,5.0,5.0,2.73,14.9,0.15,-40.7,0.29,4.606721684454397,30.0,5.91,Low
5454,21,Tuesday,Hostel_B,59.54606865490305,43.9,19.0,31.24,1.04,-43.2,,39.06242858329659,88.0,14.41,Low
5512,7,Thursday,Lab_Block_B,50.213885006642045,46.81,13.75,31.1,0.62,-48.3,1.7,43.310415576262486,40.0,7.15,Low
5930,13,Friday,Hostel_B,146.29519549484928,148.52,48.786,62.3,2.17,-54.4,4.13,128.0228085240796,189.0,42.62,Low
3419,7,Tuesday,Hostel_A,37.5488501479045,29.69,8.87,17.6,0.5119999999999999,-43.0,1.55,24.384824320626414,47.0,8.88,Low
2312,12,Wednesday,Sports_Complex,154.1911687524999,167.48,54.08,55.8,2.94,-47.6,4.57,142.80319484003184,222.0,43.24,Low
5086,3,Wednesday,Lecture_Hall_2,45.98844915488671,38.64,15.3,27.8,1.08,-42.4,2.03,26.873632083342653,44.2,12.56,Low
1938,12,Monday,Library,144.99235187906797,151.36,41.7,46.4,1.82,-54.9,2.82,140.79300173364706,204.0,28.81,Medium
3077,18,Friday,Lab_Block_A,65.7595093363711,64.58,14.24,26.3,1.26,-43.4,1.89,46.19631783073911,96.0,14.01,Low
4299,22,Tuesday,Lab_Block_B,31.583041187860765,38.17,9.642,18.5,0.4800000000000001,-38.7,1.33,29.172587022626708,21.0,9.81,Low
2508,8,Tuesday,Lab_Block_A,54.105994474259454,55.91,23.73,41.7,1.39,-46.2,,41.38578287407531,59.0,21.67,Low
4908,22,Friday,Lecture_Hall_1,5.0,5.0,3.78,14.0,0.15,,0.56,4.570488045749767,24.0,5.52,Low
5835,13,Monday,Lab_Block_B,183.3808893263543,185.2,51.95,53.6,2.97,-49.7,4.64,179.1420074050612,226.0,53.38,Low
1059,19,Friday,Lecture_Hall_1,21.925370779721906,42.33,3.35,21.020000000000003,0.61,-42.4,0.97,40.52920348790226,31.0,4.34,Low
4399,12,Thursday,Lecture_Hall_1,179.18718676548534,170.31,59.29,60.7,3.83,-51.5,6.2,132.24956270854426,226.0,49.82,Medium
3323,22,Saturday,Lecture_Hall_1,9.922305192933434,5.0,6.18,24.8,0.34,-45.1,0.61,4.686509406742212,20.0,3.52,Low
5601,9,Thursday,Library,80.88068907268513,94.672,37.7,41.9,2.01,-45.7,3.39,87.26358778612173,98.0,33.76,Low
4047,5,Saturday,Library,29.663987602189422,9.04,8.45,22.4,0.35,-41.9,0.54,7.9065823027523585,36.0,0.88,Low
1618,21,Tuesday,Library,50.494012016506375,46.83,7.34,16.3,0.49,-47.3,1.75,37.873314496873995,55.0,4.05,Low
6499,15,Friday,Lecture_Hall_2,157.01728194629908,165.02,50.59,56.7,4.5649999999999995,-48.1,5.66,133.80680599283812,224.0,51.45,Medium
4005,12,Monday,Lab_Block_A,136.280265114389,169.69,41.87,57.5,1.73,-48.6,2.72,119.79485618646677,178.0,40.76,Low
6393,13,Thursday,Cafeteria,192.004687439973,179.38400000000001,50.71,58.1,2.34,-60.8,3.91,144.66102630964176,274.0,40.57,Low
3373,2,Monday,Lecture_Hall_1,21.97238932914448,16.39,19.27,44.3,1.53,-43.3,2.37,11.491261099631958,31.0,18.91,Low
5035,8,Friday,Admin_Block,78.52472390542283,51.97,30.25,38.7,2.07,-47.2,3.46,42.807340666190235,89.0,23.67,Low
5575,5,Sunday,Library,5.0,14.91,6.56,20.6,0.27,-37.7,1.47,13.846706771466092,25.0,3.97,Low
5791,15,Wednesday,Hostel_B,147.3322862963168,135.176,43.88,51.7,1.85,-58.7,3.71,102.07441823502812,193.4,34.89,Low
3848,16,Tuesday,Lecture_Hall_1,139.75372661044244,152.81,39.63,49.3,1.79,-52.5,2.79,124.36067280717364,169.0,39.972,Low
4041,10,Thursday,Library,122.77324562002218,95.93,42.63,47.56,1.93,-54.0,3.05,75.30116142218439,150.0,30.84,Low
5293,11,Monday,Library,157.9652779567865,194.71,59.5,76.6,2.68,,4.87,176.7047497901688,189.0,55.2,Low
4310,0,Monday,Hostel_B,5.645332206418601,20.94,0.0,10.8,0.46,-33.1,1.15,15.106647802246282,5.0,0.0,Low
